date,cpi,purchasing_power
1972-02-01,41.4,2.4154589371980677
1972-03-01,41.4,2.4154589371980677
1972-04-01,41.5,2.4096385542168677
1972-05-01,41.6,2.4038461538461537
1972-06-01,41.7,2.398081534772182
1972-07-01,41.8,2.3923444976076556
1972-08-01,41.9,2.3866348448687353
1972-09-01,42.1,2.375296912114014
1972-10-01,42.2,2.3696682464454977
1972-11-01,42.4,2.358490566037736
1972-12-01,42.5,2.3529411764705883
1973-01-01,42.7,2.34192037470726
1973-02-01,43.0,2.3255813953488373
1973-03-01,43.4,2.3041474654377883
1973-04-01,43.7,2.2883295194508007
1973-05-01,43.9,2.277904328018223
1973-06-01,44.2,2.262443438914027
1973-07-01,44.2,2.262443438914027
1973-08-01,45.0,2.2222222222222223
1973-09-01,45.2,2.2123893805309733
1973-10-01,45.6,2.1929824561403506
1973-11-01,45.9,2.178649237472767
1973-12-01,46.3,2.1598272138228944
1974-01-01,46.8,2.1367521367521367
1974-02-01,47.3,2.1141649048625792
1974-03-01,47.8,2.092050209205021
1974-04-01,48.1,2.079002079002079
1974-05-01,48.6,2.05761316872428
1974-06-01,49.0,2.0408163265306123
1974-07-01,49.3,2.028397565922921
1974-08-01,49.9,2.0040080160320644
1974-09-01,50.6,1.976284584980237
1974-10-01,51.0,1.9607843137254901
1974-11-01,51.5,1.941747572815534
1974-12-01,51.9,1.9267822736030829
1975-01-01,52.3,1.9120458891013385
1975-02-01,52.6,1.9011406844106464
1975-03-01,52.8,1.893939393939394
1975-04-01,53.0,1.8867924528301887
1975-05-01,53.1,1.8832391713747645
1975-06-01,53.5,1.8691588785046729
1975-07-01,54.0,1.8518518518518519
1975-08-01,54.2,1.8450184501845017
1975-09-01,54.6,1.8315018315018314
1975-10-01,54.9,1.8214936247723132
1975-11-01,55.3,1.8083182640144666
1975-12-01,55.6,1.7985611510791366
1976-01-01,55.8,1.7921146953405018
1976-02-01,55.9,1.7889087656529516
1976-03-01,56.0,1.7857142857142858
1976-04-01,56.1,1.7825311942959001
1976-05-01,56.4,1.773049645390071
1976-06-01,56.7,1.763668430335097
1976-07-01,57.0,1.7543859649122806
1976-08-01,57.3,1.7452006980802792
1976-09-01,57.6,1.7361111111111112
1976-10-01,57.9,1.7271157167530224
1976-11-01,58.1,1.721170395869191
1976-12-01,58.4,1.7123287671232876
1977-01-01,58.7,1.7035775127768313
1977-02-01,59.3,1.6863406408094437
1977-03-01,59.6,1.6778523489932886
1977-04-01,60.0,1.6666666666666667
1977-05-01,60.2,1.6611295681063123
1977-06-01,60.5,1.6528925619834711
1977-07-01,60.8,1.6447368421052633
1977-08-01,61.1,1.6366612111292962
1977-09-01,61.3,1.6313213703099512
1977-10-01,61.6,1.6233766233766234
1977-11-01,62.0,1.6129032258064515
1977-12-01,62.3,1.6051364365971108
1978-01-01,62.7,1.594896331738437
1978-02-01,63.0,1.5873015873015872
1978-03-01,63.4,1.5772870662460567
1978-04-01,63.9,1.5649452269170578
1978-05-01,64.5,1.550387596899225
1978-06-01,65.0,1.5384615384615385
1978-07-01,65.5,1.5267175572519085
1978-08-01,65.9,1.5174506828528072
1978-09-01,66.5,1.5037593984962405
1978-10-01,67.1,1.4903129657228018
1978-11-01,67.5,1.4814814814814814
