DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,AGE,SEX,SOCIO_ECON_STATUS,DEATH_CAUSE,CALC_METHODOLOGY,GESTATION_THRESHOLD,HEALTH_STATUS,DISEASE,CANCER_SITE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,OBS_STATUS2,OBS_STATUS3,UNIT_MULT
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),BRA,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2019,0.4,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),CHL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2001,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),CHL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2017,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),COL,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,1996,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),FRA,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,1997,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),DEU,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2002,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),DEU,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2008,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),HUN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2013,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),HUN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2014,1,1,,,,0
OECD.ELS.HD:DSD_HEALTH_STAT@DF_COM(1.1),HUN,A,CSEM,DT_10P5HB,_T,_T,_Z,CICDPOSN,STANDARD,_Z,_Z,_Z,_Z,2016,1,1,,,,0
